                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.49979,                0.52302,                 1.1225,                0.97536,                0.97377,                0.97585,                0.89709,                0.44128,                0.39548,                 1.0248,              0.0009365,              0.0009365,              0.0009365
                     79,                0.49846,                0.51854,                 1.1313,                0.98135,                 0.9698,                0.98193,                0.89874,                0.44365,                0.36349,                 1.0299,             0.00093238,             0.00093238,             0.00093238
                     80,                0.50211,                0.53403,                 1.1314,                0.99006,                0.97623,                0.98475,                0.89532,                0.44665,                0.34888,                 1.0384,             0.00092825,             0.00092825,             0.00092825
                     81,                0.50464,                0.52706,                 1.1311,                0.97598,                 0.9861,                0.98209,                0.86869,                0.46894,                0.36373,                 1.0546,             0.00092413,             0.00092413,             0.00092413
                     82,                0.49607,                0.52014,                 1.1329,                 0.9846,                0.97952,                0.98276,                0.90372,                0.43867,                0.34443,                 1.0376,                0.00092,                0.00092,                0.00092
                     83,                0.49578,                0.50962,                   1.13,                0.97599,                0.98207,                0.98499,                0.90217,                0.45701,                0.36074,                 1.0512,             0.00091588,             0.00091588,             0.00091588
                     84,                0.47702,                0.49188,                 1.1107,                0.97074,                0.98599,                0.98076,                0.90767,                0.41688,                0.34338,                  1.027,             0.00091175,             0.00091175,             0.00091175
                     85,                0.46905,                0.48761,                 1.1096,                0.97737,                0.98528,                0.98272,                 0.8978,                 0.4358,                0.36426,                 1.0448,             0.00090763,             0.00090763,             0.00090763
                     86,                0.47661,                0.50557,                 1.1147,                0.98808,                0.98228,                0.98847,                0.90671,                 0.4289,                0.36357,                 1.0369,              0.0009035,              0.0009035,              0.0009035
                     87,                0.47597,                0.49373,                 1.1113,                0.97346,                0.98595,                 0.9821,                0.91063,                0.41459,                0.34008,                 1.0226,             0.00089938,             0.00089938,             0.00089938
                     88,                0.48111,                0.50352,                 1.1187,                0.98955,                0.98281,                0.98635,                0.91059,                 0.4233,                0.32736,                 1.0361,             0.00089525,             0.00089525,             0.00089525
                     89,                0.48205,                0.49045,                 1.1239,                0.98652,                0.98253,                 0.9864,                0.91755,                0.41262,                0.35821,                  1.021,             0.00089112,             0.00089112,             0.00089112
                     90,                0.48255,                 0.4911,                 1.1196,                0.98053,                0.97549,                0.98128,                0.90913,                0.41845,                 0.3747,                 1.0386,               0.000887,               0.000887,               0.000887
                     91,                0.47759,                0.48453,                 1.1066,                0.98753,                 0.9856,                0.98352,                0.90767,                0.41503,                0.33081,                 1.0335,             0.00088288,             0.00088288,             0.00088288
                     92,                0.47284,                0.49282,                 1.1023,                0.98195,                0.98074,                0.98131,                0.90939,                 0.4078,                0.34231,                 1.0266,             0.00087875,             0.00087875,             0.00087875
                     93,                0.47732,                0.48718,                 1.1139,                0.98618,                 0.9847,                0.98568,                0.90652,                0.42604,                0.35126,                 1.0399,             0.00087462,             0.00087462,             0.00087462
                     94,                0.47664,                0.47893,                 1.1091,                0.99002,                 0.9762,                0.98678,                0.91969,                0.41044,                0.34907,                 1.0208,              0.0008705,              0.0008705,              0.0008705
                     95,                0.46803,                 0.4783,                 1.1058,                0.98464,                0.97549,                0.98207,                 0.9086,                0.40619,                0.33407,                  1.027,             0.00086637,             0.00086637,             0.00086637
                     96,                0.47497,                0.46552,                 1.1129,                0.99107,                0.98516,                 0.9854,                0.91347,                0.40513,                0.32634,                 1.0159,             0.00086225,             0.00086225,             0.00086225
                     97,                0.46659,                 0.4547,                 1.0969,                0.98996,                0.98207,                0.98331,                0.90504,                0.42732,                0.34704,                 1.0424,             0.00085813,             0.00085813,             0.00085813
                     98,                 0.4675,                0.47669,                 1.1096,                0.99017,                0.98268,                0.98431,                0.91759,                0.40886,                0.31783,                 1.0116,               0.000854,               0.000854,               0.000854
                     99,                0.47304,                0.48516,                 1.1083,                0.97869,                0.97672,                0.98156,                0.91359,                0.41203,                0.34089,                 1.0447,             0.00084988,             0.00084988,             0.00084988
                    100,                 0.4715,                0.47462,                 1.1068,                0.97887,                0.98281,                0.98272,                0.91637,                0.40634,                0.31856,                 1.0063,             0.00084575,             0.00084575,             0.00084575
                    101,                0.47434,                0.48144,                 1.1047,                0.98191,                0.98516,                0.98611,                0.91882,                 0.3909,                 0.3088,                 1.0123,             0.00084162,             0.00084162,             0.00084162
                    102,                0.45809,                0.47391,                  1.097,                0.98666,                0.98444,                0.98708,                0.91712,                0.41392,                0.31903,                 1.0151,              0.0008375,              0.0008375,              0.0008375
                    103,                0.45792,                0.45052,                 1.0906,                0.98037,                 0.9861,                0.98673,                0.92211,                0.40397,                0.30554,                 1.0134,             0.00083337,             0.00083337,             0.00083337
                    104,                0.46131,                0.45311,                  1.103,                 0.9894,                 0.9841,                0.98722,                 0.9235,                0.39197,                0.29528,                 1.0073,             0.00082925,             0.00082925,             0.00082925
                    105,                0.45603,                0.45566,                  1.096,                0.98813,                 0.9821,                0.98677,                0.92214,                0.39355,                0.30391,                 1.0114,             0.00082513,             0.00082513,             0.00082513
                    106,                0.45759,                0.44882,                 1.0972,                0.98999,                0.98281,                0.98805,                 0.9149,                0.40273,                 0.3112,                 1.0039,               0.000821,               0.000821,               0.000821
                    107,                0.45219,                0.44671,                 1.0989,                0.98741,                0.98939,                0.98674,                0.92055,                0.38392,                0.29489,                0.99112,             0.00081688,             0.00081688,             0.00081688
                    108,                0.44605,                0.44442,                 1.0898,                0.98976,                0.98664,                0.98468,                0.92179,                0.38289,                0.29247,                0.99147,             0.00081275,             0.00081275,             0.00081275
                    109,                0.44507,                0.43597,                 1.0899,                0.98515,                0.97369,                0.98293,                0.92035,                0.40355,                0.34464,                 1.0252,             0.00080863,             0.00080863,             0.00080863
                    110,                0.44461,                0.44799,                 1.0865,                0.98387,                 0.9861,                0.98612,                0.91166,                0.38697,                0.27402,                0.99938,              0.0008045,              0.0008045,              0.0008045
                    111,                0.45152,                0.43787,                 1.0903,                0.98865,                0.98519,                0.98808,                0.92286,                0.39336,                0.29708,                0.99685,             0.00080038,             0.00080038,             0.00080038
                    112,                0.44829,                0.44967,                 1.0982,                0.98845,                0.97806,                0.98633,                0.91534,                0.39972,                0.30063,                 1.0093,             0.00079625,             0.00079625,             0.00079625
                    113,                0.46129,                0.44887,                 1.1018,                 0.9815,                0.98939,                0.98597,                 0.9201,                0.40267,                0.33438,                 1.0143,             0.00079213,             0.00079213,             0.00079213
                    114,                0.45323,                0.44228,                 1.0885,                0.98673,                0.98491,                0.98674,                0.92608,                0.38023,                0.29086,                0.99758,               0.000788,               0.000788,               0.000788
                    115,                 0.4402,                 0.4344,                 1.0888,                0.99053,                0.98281,                0.98828,                0.91825,                0.38338,                0.29004,                0.99029,             0.00078387,             0.00078387,             0.00078387
                    116,                0.45708,                0.44106,                 1.0984,                0.98699,                 0.9861,                  0.984,                0.91137,                0.39559,                0.30646,                0.99515,             0.00077975,             0.00077975,             0.00077975
